title,year,arxiv,doi,journal
Relativistic Hydrodynamics under Rotation: Prospects \& Limitations from a Holographic Perspective,2023,2308.11686,TBD,Symmetry(Submitted)
Modes of the Sakai-Sugimoto soliton,2023,2306.00677,TBD,Submitted
Convergence of hydrodynamics in rapidly spinning strongly coupled plasma,2023,2112.10781,10.1103/PhysRevD.108.046014,Physical Review D
Chaos and pole-skipping in a simply spinning plasma,2022,2211.00016,10.1007/JHEP02(2023)253,JHEP
Hydrodynamics of simply spinning black holes \& hydrodynamics for spinning quantum fluids,2020,2007.04345,10.1007/JHEP12(2020)112,JHEP
Resonating AdS soliton,2020,2006.12783,10.1007/JHEP08(2020)136,JHEP
Dispersion relations in non-relativistic two-dimensional materials from quasinormal modes in Hǒrava Gravity,2019,1905.11993,10.1007/JHEP10(2019)087,JHEP
