year,month,place,type
2023|October|Online|Holotube
2023|September|Online|Online workshop on topological solitons
2020,February,Tokyo University,Research Seminar
2020,February,Ochanomizu University,Research Seminar
2020,February,Chuo University,Research Seminar
2019,July,Würzburg University,Research Seminar
2019,July,Würzburg University,Frankfurt Institute for Advanced Studies
2017,July,Würzburg University,3rd Karl Schwarzschild Conference
